Team Name,Group,Player Name,Email,Phone,Handicap,Category
Team 1,Group A,John Doe,john@example.com,555-1234,25,A League
Team 1,Group A,Jane Smith,jane@example.com,555-2345,30,A League
Team 1,Group A,Bob Wilson,bob@example.com,555-3456,15,B League
Team 1,Group A,Alice Brown,alice@example.com,555-4567,22,A League
Team 2,Group A,Mike Davis,mike@example.com,555-5678,18,B League
Team 2,Group A,Sarah Miller,sarah@example.com,555-6789,35,A League
Team 2,Group A,Tom Garcia,tom@example.com,555-7890,20,B League
Team 2,Group A,Linda Martinez,linda@example.com,555-8901,28,A League
Team 3,Group B,Chris Johnson,chris@example.com,555-9012,19,B League
Team 3,Group B,Pat Lee,pat@example.com,555-0123,26,A League
Team 3,Group B,Sam Taylor,sam@example.com,555-1235,17,B League
Team 3,Group B,Alex Morgan,alex@example.com,555-2346,24,A League
